mouse_ref,fish_ref,jaccard_similarity
NP_001002152.1,XP_036018751.1,0.8316326530612245
XP_073767657.1,XP_006527624.1,0.8023504273504274
XP_017213113.1,XP_006527624.1,0.7903055848261328
XP_021324015.1,XP_017170566.1,0.7838541666666666
NP_001018465.1,NP_001399408.1,0.7799043062200957
NP_001313524.1,NP_001407804.1,0.7749469214437368
XP_068080740.1,XP_011239974.1,0.7661431064572426
XP_073773477.1,NP_001136390.1,0.7601626016260162
XP_005156473.1,XP_030097954.1,0.7477313974591652
NP_001165871.1,XP_017170566.1,0.7447595561035758
XP_009297635.1,NP_032189.1,0.7436974789915967
XP_073783408.1,XP_017170566.1,0.7409200968523002
XP_073773474.1,NP_001136390.1,0.7400793650793651
XP_073801758.1,XP_036014132.1,0.7236084452975048
XP_009301471.1,XP_017168767.1,0.7153465346534653
XP_073762092.1,XP_017168767.1,0.7153465346534653
XP_009301469.1,XP_017168767.1,0.7144622991347342
XP_009301470.1,XP_017168767.1,0.7144622991347342
XP_073770034.1,XP_017175076.1,0.7101167315175098
NP_001139072.1,NP_001240296.1,0.7072
XP_073778981.1,XP_036012956.1,0.6982248520710059
XP_073794618.1,XP_030107316.1,0.6979034307496823
XP_073801772.1,XP_036014132.1,0.6977611940298507
XP_073801773.1,XP_036014132.1,0.6977611940298507
XP_073794616.1,XP_030107316.1,0.6973642426167037
XP_073794593.1,XP_030107316.1,0.6969601013299557
XP_073794611.1,XP_030107316.1,0.6958730158730159
XP_073794610.1,XP_030107316.1,0.6953348143446525
XP_073794635.1,XP_006501113.1,0.6928571428571428
XP_073801801.1,XP_036014132.1,0.6872586872586872
XP_017214274.1,NP_001240292.1,0.6867469879518072
XP_073801766.1,XP_036014132.1,0.6857142857142857
XP_073767796.1,XP_011243208.1,0.6812239221140473
XP_073767803.1,XP_011243208.1,0.6800445930880713
XP_073767804.1,XP_011243208.1,0.6797658862876255
XP_005167755.1,XP_036014574.1,0.6764209341586944
XP_073790678.1,NP_001356254.1,0.6727941176470589
XP_068070478.1,XP_011237218.1,0.672514619883041
XP_073790669.1,NP_001356254.1,0.6706806282722513
XP_073775956.1,NP_001240292.1,0.667447306791569
XP_073787276.1,XP_030108979.1,0.6655896607431341
XP_073794653.1,XP_006538649.1,0.66270783847981
XP_021332847.1,XP_017175851.1,0.6607756504663721
XP_073784601.1,XP_036016166.1,0.6526728239574587
XP_009304564.1,XP_006538649.1,0.647191011235955
NP_997937.1,NP_001407804.1,0.6463654223968566
XP_073783219.1,XP_011237218.1,0.6446886446886447
NP_001007774.1,NP_034431.1,0.6437054631828979
XP_021322474.1,NP_001345795.2,0.6436663233779608
XP_009290097.1,XP_017175076.1,0.6412270856715301
XP_073787259.1,XP_030108979.1,0.6383307573415765
XP_073779925.1,XP_006532501.1,0.6379511059371362
XP_073787271.1,XP_030108979.1,0.6367851622874807
XP_073807349.1,XP_006535289.1,0.6363340916477088
XP_073779921.1,XP_006532501.1,0.6357667052916184
XP_073807325.1,XP_006535289.1,0.63560141889713
XP_073789035.1,NP_694794.1,0.6341948310139165
XP_073807344.1,XP_006535289.1,0.6338620912916801
XP_073807334.1,XP_006535289.1,0.6337209302325582
XP_021322121.1,XP_006532501.1,0.6330275229357798
NP_001188286.1,NP_666351.2,0.6321070234113713
XP_068077574.2,XP_006535289.1,0.6312741312741312
XP_073787239.1,XP_030108979.1,0.6303680981595092
XP_073806619.1,XP_011246968.2,0.6291018998272885
XP_073806617.1,XP_011246968.2,0.6280172413793104
XP_068071160.1,NP_001192160.1,0.62756052141527
XP_073786670.1,NP_001408216.1,0.6267806267806267
XP_073775125.1,NP_001240292.1,0.6264591439688716
XP_073771985.1,XP_030109050.1,0.6237442922374429
XP_017211601.1,XP_011246968.2,0.6217484008528784
XP_009304252.1,XP_017171526.1,0.6205673758865248
NP_001006082.1,NP_001171045.1,0.6176470588235294
XP_073781794.1,NP_001390512.1,0.6115107913669064
XP_073776954.1,NP_001411388.1,0.6020408163265306
XP_021323751.1,XP_006520113.1,0.6000713521227257
XP_068075802.1,XP_036011723.1,0.5976095617529881
XP_005163850.2,NP_998824.1,0.597574421168688
XP_073772733.1,XP_017171526.1,0.5946866485013624
XP_073792592.1,XP_006529236.1,0.592274678111588
NP_001074170.1,NP_033534.2,0.5921696574225123
XP_073809939.1,NP_001355754.1,0.5916159567275185
XP_005160940.1,NP_033360.2,0.5908256880733945
XP_005156422.1,NP_001411388.1,0.590711175616836
XP_073809938.1,NP_001355754.1,0.5894062078272605
XP_068080422.1,XP_036014532.1,0.5861837692823608
XP_073806716.1,NP_001411388.1,0.5861538461538461
XP_073762546.1,XP_017168261.1,0.5823726292301971
XP_017214717.1,NP_062665.4,0.579556412729026
XP_005171274.1,NP_001103785.1,0.5778032036613272
XP_073795067.1,XP_030109607.1,0.5775978407557355
XP_073762142.1,XP_017168261.1,0.5768947755702722
XP_068073183.1,XP_006535580.1,0.576017130620985
XP_005162258.1,XP_030109607.1,0.574496644295302
XP_073772245.1,NP_001361732.1,0.5694444444444444
XP_009294756.3,NP_700462.2,0.568973525313516
XP_005166656.1,XP_011241007.1,0.566607460035524
XP_073790544.1,NP_001349251.1,0.5651408450704225
XP_068073289.1,XP_006510037.1,0.5633663366336633
XP_073798049.1,XP_006510037.1,0.559841740850643
XP_068077908.1,NP_001070967.1,0.5592464055528011
XP_073776551.1,XP_006495753.1,0.55922289534155
XP_073776587.1,XP_006495753.1,0.5583819849874896
XP_073776589.1,XP_006495753.1,0.558232090490155
XP_073762915.1,XP_017168261.1,0.5579925650557621
XP_073762785.1,XP_017168261.1,0.5579494799405647
XP_009296795.1,NP_001103785.1,0.5558613098514034
XP_073763181.1,NP_001231820.1,0.5541740674955595
XP_068075805.1,XP_036011723.1,0.553125
NP_001038444.2,XP_036019548.1,0.5530434782608695
XP_073793664.1,NP_700462.2,0.5512637100619934
XP_005159050.2,NP_001129537.1,0.5509259259259259
