mouse_ref,fish_ref,jaccard_similarity
NP_001093643.1,NP_835510.1,1.0
NP_001099176.2,NP_783583.1,1.0
NP_001373604.1,NP_783583.1,1.0
XP_009301181.3,NP_783583.1,1.0
XP_068078631.1,NP_783583.1,1.0
XP_068078633.1,NP_783583.1,1.0
XP_688877.3,NP_783583.1,0.94
NP_957205.2,NP_062284.1,0.8805031446540881
NP_958866.1,NP_032434.3,0.8486562942008486
XP_005165754.1,NP_031502.1,0.828125
NP_956988.1,NP_001391398.1,0.8263473053892215
XP_073767680.1,XP_011245743.1,0.8219780219780219
NP_001121702.2,NP_001346817.1,0.8210922787193974
NP_001153000.1,NP_001177187.1,0.8181818181818182
XP_017213125.1,XP_006527623.1,0.8171122994652407
XP_073784963.1,NP_001334468.1,0.8072727272727273
XP_073767659.1,XP_006527623.1,0.8059384941675504
XP_073767669.1,XP_006527623.1,0.8042780748663102
NP_001318056.1,XP_006509601.1,0.8037383177570093
XP_073767661.1,XP_006527623.1,0.8031746031746032
XP_073788473.1,NP_001363878.1,0.7986270022883295
XP_017213116.1,XP_006527623.1,0.797071129707113
XP_009305321.1,NP_077779.2,0.7891891891891892
NP_001410879.1,XP_006504848.1,0.7821063057114559
XP_073768026.1,XP_030101056.1,0.7783783783783784
XP_073773482.1,NP_001318071.1,0.7773109243697479
NP_001136058.2,NP_783590.1,0.7720588235294118
XP_073771771.1,NP_033473.1,0.7679671457905544
XP_073788110.1,XP_017170567.1,0.7648546144121365
NP_001410638.1,NP_803126.1,0.7615384615384615
XP_068078962.1,NP_001156871.1,0.7596153846153846
XP_021324011.1,XP_017170567.1,0.7581453634085213
XP_073808534.1,XP_006527623.1,0.7556701030927835
XP_073791006.1,NP_001297614.1,0.7540983606557377
XP_017209712.2,NP_001171124.1,0.753731343283582
NP_942579.2,NP_001074397.1,0.75
NP_001313469.1,XP_030108780.1,0.7490566037735849
NP_001017874.1,NP_083350.2,0.7482014388489209
NP_998537.1,NP_001405064.1,0.7481840193704601
NP_001333203.1,NP_034445.1,0.7468354430379747
XP_073775658.1,NP_034445.1,0.7468354430379747
XP_073773477.1,NP_001318071.1,0.7449392712550608
XP_021336500.1,NP_001034228.1,0.7393715341959335
XP_073762096.1,XP_036010732.1,0.7365119196988708
XP_073801792.1,NP_001393897.1,0.7362204724409449
XP_073780746.1,NP_001074828.2,0.7356866121394748
XP_073768024.1,XP_030101056.1,0.7356020942408377
XP_073773476.1,NP_001318071.1,0.7354709418837675
XP_073776974.1,NP_001411380.1,0.7341772151898734
XP_073780753.1,NP_001074828.2,0.73407917383821
XP_068075245.1,XP_006501721.1,0.7307692307692307
XP_073790524.1,NP_001405106.1,0.7282051282051282
XP_073790525.1,NP_001405106.1,0.7282051282051282
XP_073790993.1,NP_001297614.1,0.7265469061876247
XP_073790989.1,NP_001297614.1,0.7246653919694073
